nohup: ignoring input
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(590100, 5, 2)
Step: 5400, Loss: 20010.41796875, Current Best Loss: inf, Computation time: 21.27815890312195
Step: 5500, Loss: 20302.552734375, Current Best Loss: inf, Computation time: 21.29542303085327
Step: 5600, Loss: 19826.76171875, Current Best Loss: inf, Computation time: 20.552149534225464
Step: 5700, Loss: 19805.40625, Current Best Loss: inf, Computation time: 20.630361795425415
Step: 5800, Loss: 19739.228515625, Current Best Loss: inf, Computation time: 20.51799511909485
Step: 5900, Loss: 19397.96875, Current Best Loss: inf, Computation time: 20.67593502998352
Step: 6000, Loss: 19684.689453125, Current Best Loss: inf, Computation time: 20.557674407958984
Step: 6100, Loss: 19219.36328125, Current Best Loss: inf, Computation time: 20.50564217567444
Step: 6200, Loss: 19707.4296875, Current Best Loss: inf, Computation time: 20.65128517150879
Step: 6300, Loss: 19607.982421875, Current Best Loss: inf, Computation time: 20.66684055328369
Step: 6400, Loss: 19635.26953125, Current Best Loss: inf, Computation time: 20.535134315490723
Step: 6500, Loss: 19447.15234375, Current Best Loss: inf, Computation time: 20.56653094291687
Step: 6600, Loss: 19161.02734375, Current Best Loss: inf, Computation time: 20.43721842765808
Step: 6700, Loss: 19171.08203125, Current Best Loss: inf, Computation time: 20.564975261688232
Step: 6800, Loss: 20108.25, Current Best Loss: inf, Computation time: 20.617909908294678
Step: 6900, Loss: 19030.45703125, Current Best Loss: inf, Computation time: 20.515997409820557
Step: 7000, Loss: 18762.0078125, Current Best Loss: inf, Computation time: 20.52523398399353
Step: 7100, Loss: 19138.6171875, Current Best Loss: inf, Computation time: 20.39022660255432
Step: 7200, Loss: 19259.529296875, Current Best Loss: inf, Computation time: 20.443751573562622
Step: 7300, Loss: 19166.2109375, Current Best Loss: inf, Computation time: 21.237998008728027
Step: 7400, Loss: 19449.7421875, Current Best Loss: inf, Computation time: 21.074477434158325
Step: 7500, Loss: 19608.91015625, Current Best Loss: inf, Computation time: 20.819687843322754
Step: 7600, Loss: 18997.013671875, Current Best Loss: inf, Computation time: 20.802321195602417
Step: 7700, Loss: 18796.162109375, Current Best Loss: inf, Computation time: 20.65549635887146
Step: 7800, Loss: 18897.322265625, Current Best Loss: inf, Computation time: 20.821067571640015
Step: 7900, Loss: 19127.158203125, Current Best Loss: inf, Computation time: 20.613978147506714
Step: 8000, Loss: 19732.58203125, Current Best Loss: inf, Computation time: 20.53072690963745
Step: 8100, Loss: 18203.568359375, Current Best Loss: inf, Computation time: 20.61123490333557
Step: 8200, Loss: 18645.880859375, Current Best Loss: inf, Computation time: 20.67735767364502
Step: 8300, Loss: 19492.3984375, Current Best Loss: inf, Computation time: 20.584484338760376
Step: 8400, Loss: 18734.068359375, Current Best Loss: inf, Computation time: 20.64964008331299
Step: 8500, Loss: 18829.84765625, Current Best Loss: inf, Computation time: 20.57707381248474
Step: 8600, Loss: 19011.7109375, Current Best Loss: inf, Computation time: 20.47531533241272
Step: 8700, Loss: 19262.3203125, Current Best Loss: inf, Computation time: 20.56330919265747
Step: 8800, Loss: 18744.7578125, Current Best Loss: inf, Computation time: 21.117499589920044
Step: 8900, Loss: 19027.638671875, Current Best Loss: inf, Computation time: 21.3650484085083
Step: 9000, Loss: 18440.693359375, Current Best Loss: inf, Computation time: 20.66107702255249
Step: 9100, Loss: 18432.51171875, Current Best Loss: inf, Computation time: 20.594505071640015
Step: 9200, Loss: 18333.16015625, Current Best Loss: inf, Computation time: 20.303218841552734
Step: 9300, Loss: 20053.83203125, Current Best Loss: inf, Computation time: 20.37219786643982
Step: 9400, Loss: 18698.876953125, Current Best Loss: inf, Computation time: 20.452391147613525
Step: 9500, Loss: 18901.798828125, Current Best Loss: inf, Computation time: 20.37396001815796
Step: 9600, Loss: 18790.859375, Current Best Loss: inf, Computation time: 20.44762086868286
Step: 9700, Loss: 18274.21875, Current Best Loss: inf, Computation time: 20.383915185928345
